artist,title,album,year,lyrics
A Day to Remember,Out of Time,What Separates Me From You,2010-11-15,"I've never felt so sober
I've never felt the low that I feel tonight
Your words made everything drag on and on
I finally found her
And when I did I just couldn't make things right
Is this really happening? Oh, God, I think I just ruined my life

What the fuck am I doing?
I can't tell the difference from wrong and right
I second-guess my decisions
'Cause I haven't been this person in my whole life
I think I need something new here
When I keep longing for what I had
No need for second opinions
I do the best I can to ruin what I have, come on

Don't think you've got to go in alone here
I've got nothing left to hide
You're dying, just make up your mind

I thought this was what you wanted
Someone who gets everything right
Gets everything right
I thought this was what you wanted
Someone to put you first in their life
Cause we're running out of time

Let's have three cheers for the new year (Hey! Hey! Hey!)
Here's a moment that's not as bad
This wasn't part of my vision
The optimistic me says we can make this last, but no
You ruined my favorite records
Listen to them and I think of you
I just hope you remember
All of the countless times that I believed in you, for what?

Don't think you've got to go in alone here
I've got nothing left to hide
You're dying, just make up your mind

I thought this was what you wanted
Someone who gets everything right
Gets everything right
I thought this was what you wanted
Someone to put you first in their life
Cause we're running out of time

Just know that it kills me
When I hear anything to do with you
You won't see it, but believe me
I need to be right where you are
You know that I'm leaving
And you won't hear 'till a year from now
And this kills me
'Cause now I think that everything's, everything's about you

I thought this was what you wanted
Someone who gets everything right
Gets everything right
I thought this was what you wanted
Someone to put you first in their life
Cause we're running out of time

Don't think you've got to go in alone here
I've got nothing left to hide
You're dying, just make up your mind"
A Day to Remember,Paranoia,Bad Vibrations,2016-03-09,"Expect the worst of everyone I meet
Count the clock 'cause I can't fucking sleep
Shooting pain like a heart attack
Call my friends, I might not make it back

The doctor says I'm headed for destruction
Something's gotta give...

I'm like a time bomb ticking in your head
Paranoia clouding your judgement
And no matter what you do about it, about it, about it
I'm still in your head

It's got me scared, scared of the unknown
Unknown numbers been blowing up my phone
I'm hearing footsteps outside of my house
I'm afraid someone's trying to take me out

The doctor says I'm headed for destruction
Can I fucking live?

I'm like a time bomb ticking in your head
Paranoia clouding your judgement
And no matter what you do about it, about it, about it
I'm like a time bomb ticking in your head
Paranoia clouding your judgement
And no matter what you do about it, about it, about it
I'm still in your head

I'm still in your head
I'm still in your head
I am your breaking point

You can't run, you can't hide
I'll be there when you close your eyes at night
I'm always watching you

The doctor says I'm headed for destruction
My time is wearing thin...

I'm like a time bomb ticking in your head
Paranoia clouding your judgement
And no matter what you do about it, about it, about it
I'm like a time bomb ticking in your head
Paranoia clouding your judgement
And no matter what you do about it, about it, about it
I'm still in your head"
A Day to Remember,Reassemble,Bad Vibrations,2016-09-02,"I have come undone
Desperate and out of touch
Fall when I should run
Am I worth a reassemble?
I have come undone
This illness is my crutch
Call out to anyone
Am I worth a reassemble?
I toss, turn beneath the waves
A silent victim of the depths
Cast aside I'm scrambling to catch my...
I can't find my way out as I'm descending
My path remains unclear as the water overtakes me
Drowning in my despair
I have come undone
Desperate and out of touch
Fall when I should run
Am I worth a reassemble?
I have come undone
This illness is my crutch
Call out to anyone
Am I worth a reassemble?
My thoughts are not my own
No where's safe alone in the tide
I'm alone and it sinks in
This current's pulling me under
Drowning in my despair
I have come undone
Desperate and out of touch
Fall when I should run
Am I worth a reassemble?
I have come undone
This illness is my crutch
Call out to anyone
Am I worth a reassemble?
The surf's against us
Are we able?
Forgive our faults when they're shameful
Let's be honest with ourselves
Worn and broken, reassembled
Forgive our thoughts when they're shameful
Let's be honest with ourselves, let's be honest with ourselves"
A Day to Remember,Resentment,You’re Welcome,2019-11-22,"Resentment

I need a short term fix for a long term problem
Can I learn to love these chains?
I know I had a point but now I forgot it
While I'm circlin' the drain

No, I can't stop feelin' like every day's exactly the same
With a one track mind I don't think I can change
Trapped in memories stuck on replay, replay, replay

Starts with a spark, then it's a wildfire
Burning me up
Burning me up
A dance with demons on a high-wire
Lift me up
Lifting me up
Resentment

You know I lost my voice when I let the rot in
Hard truth cuts both ways
Pourin' out my heart
All that's unforgiven
Washing over me like rain

No, I can't stop feeling like every day's exactly the same
With a one track mind I don't think I can change
Trapped in memories stuck on replay, replay, replay

Starts with a spark, then it's a wildfire
Burning me up
Burning me up
A dance with demons on a high-wire
Lift me up
Lifting me up
Resentment

I've got this chip on my shoulder
So I press the issues on sight
For all who need introduction
Welcome to the eye of the tiger
Go

Starts with a spark, then it's a wildfire
Burning me up
Burning me up
A dance with demons on a high-wire
Lift me up
Lifting me up
Starts with a spark, then it's a wildfire
Burning me up
Burning me up
A dance with demons on a high-wire
Lift me up
Lifting me up

It's a wildfire
It's a wildfire
Resentment
It's a wildfire
It's a wildfire
Resentment"
A Day to Remember,Right Back at it Again,Common Courtesy,2013-10-08,"We’re﻿ coming out swinging!

Started out in the spring of 2003
Never went to school, nobody talked to me
Except to tell me all the things I couldn’t do
Don’t want to hear about it
Got with my guys packed into all our cars
Hit all the nearest scenes, and every local bar
I played a show a night 'till it made me sick

So here I am, I’m right back at it again
Just like I’ve always said, if you're too cool for school
You ain’t here to make no friends
And﻿ I said hey (hey)
I’m right back at it again
Just like I have always said, you’re too cool for school
I ain’t here to make no friends

Left home with no kinda backup plan
And everyone one that we knew that we couldn’t stand
Said ""If you can’t﻿ make it here, you won’t make it there""
Don’t want to hear about it
Spent most of our nights sleeping on hardwood floors
People's living rooms, in any open door
Played a show at night 'till it all made sense

Don't wanna hear about it
Don't wanna hear about it, yeah

So here I am, I’m right back at it again
Just like I’ve always said, if you're too cool for school
You ain’t here to make no friends
And I said hey!
I’m right back at it again
Just like you’ll always say, you’re too cool for school
I ain’t﻿ here to make no...
Brace for impact

Don't wanna hear about it
Don't wanna hear about it
Bitch...

Something is so off!
Can we leave it this time?
What did you think?
I thought it was awesome. Leave the 'bitch' please?
You like the 'bitch?'
I've liked the 'bitch' since fucking Homesick"
A Day to Remember,Same About You,Bad Vibrations,2016-09-02,"I just felt a wave, an emotion
And right then I knew that everything had changed
A whole side of you that went missing’s gone
And all I'd thought of you is wrong
Gotta step away for perspective
Need to take a chance to clear my head
Don't wanna understand your position
Oughta wash my hands of you and run
Think I lost my nerve, like I lost you
Held trapped by what we were
No, I'll never feel the same
Same about you, same about you
No, I'll never feel the same
Same about you, same about you
Spent time today reminiscing
Think I learned a lot about who we are
Couldn't diagnose your condition
But now I see the signs you left behind
Think I lost my nerve, like I lost you
And the truth remains unheard
No, I'll never feel the same
Same about you, same about you
No, I'll never feel the same
Same about you, same about you
Some roads you can't come back from when you extract truth from the lie
No, I'll never feel the same
Same about you, same about you
No, I'll never feel the same
Same about you, same about you"
A Day to Remember,Same Book But Never The Same Page,Common Courtesy,2013-10-08,"I've lost a part of me
'Cause I am just an open book for everyone to see
I always leave empty handed; I can't keep the things that mean the most to me
I'm walking steady on a tightrope clinging only to the words that I wrote
I might be temporarily blind but I'm not stupid

Can you tell me how you feel and look me in the face? (I've always wanted to know)
I'll go and drop my guard, you put me in my place. (In my place, put in my place)
I can't stand it. I don't get it. Nothing ever seems to work when you're around
You always build me up to break me down

I'd give you everything but that would never be good enough and that's alright with me
You take me for granted. I tried to help you be who you wanna be
I'm a sucker for a complication
Here goes another week it must seem
You weren't worth my time, you weren't worth my time
I still let you take it from me

Can you tell me how you feel and look me in the face? (I've always wanted to know)
I'll go and drop my guard, you put me in my place. (In my place, put in my place)
I can't stand it. I don't get it. Nothing ever seems to work when you're around
You always build me up to break me down

Why do I always do this to myself?
Always depending on everyone else
You know it's going to drive me crazy
You're just a notch in the wall that made me
(You're just a notch in the wall that made me)

Can you tell me how you feel and look me in the face? (I've always wanted to know)
I'll go and drop my guard, you put me in my place. (In my place, put in my place)
I can't stand it. I don't get it. Nothing ever seems to work when you're around
You always build me up to break me down

You always build me up to break me down
I said you'll always build me up to break me down
You break me down!
You break me down!
We never met on middle ground!
You break me..."
A Day to Remember,"Sometimes You’re The Hammer, Sometimes You’re The Nail",Common Courtesy,2013-10-08,"Start it
You wanna take, take, take, take, take it away from me
Take it away from me
You can't wait, wait, wait, wait, wait till I'm stumbling
Yo, I got it!

You wanna take, take, take, take, take it away from me
Take it away from me
You can't wait, wait, wait, wait, wait till I'm stumbling
Go get carried away

Go!

And the fears sets in, in an instant
Too much of myself gets exposed
This is where I go at my weakest
When I don't have to be scared to tell the truth

Tend to do my best when everything goes wrong
That's why sad songs make me happy, cause I don't have to feel alone

You wanna take, take, take, take, take it away from me
Take it away from me
You can't wait, wait, wait, wait, wait till I'm stumbling
No, you've got me wrong
Oh, the nights are long with no one else around
You wanna take, take, take, take, take it away from me
Go get carried away

It's never what you've done, it's what you've done lately
Who cares what you're saying, if no ones listening
You don't have to like me, but you're gonna respect me
I that came from nothing, leave hope in my wake

I got no regrets, but have my days with doubt
To those left in sadness I'll be the one to lead you out

You wanna take, take, take, take, take it away from me
Take it away from me
You can't wait, wait, wait, wait, wait till I'm stumbling
No, you've got me wrong
Oh, the nights are long with no one else around
You wanna take, take, take, take, take it away from me
Go get carried away

I reserve my right to feel uncomfortable
Reserve my right to be afraid
I make mistakes and I am humbled every step of the way
I want to be a better person, I wanna know the master plan
Cast your stones, cast your judgment
You don't make me who I am
I reserve my right to feel uncomfortable
Reserve my right to be afraid
I make mistakes and I am humbled every step of the way
I want to be a better person, I wanna know the master plan
Cast your stones, cast your judgment
You don't make me who I am

God help those who help themselves
And forget about everyone else
You lost your nerve, you missed the point
God help those with open hands
May they never feel burdened again
Yeah, I'll stand up for those who can't
I'll close the distance"
A Day to Remember,Sticks & Bricks,What Separates Me From You,2010-11-15,"I am fueled by all forms of failure
I paid the price, so I'll take what's mine
Oh I bet ya didn't see that one coming
Cause I do as I please, and apologize for nothing
My time is flying, but I'm still second to none
Always shining the brightest when I'm placed under the gun (God damn)
So here I stand
The only son of a working-class man
I won't be held back
I can't be held down
Where were you when my walls came falling down? (They came falling down)
You tried to hide, you stood close by, and didn't make a sound
Say something
Find you some paper, and I'll go grab you a pen
You can start taking notes on how this all started again
Been dead last, but found my way to the front
With my inspirational quotes on why I never gave up
Where were you when my walls came falling down? (They came falling down)
You tried to hide, you stood close by, and didn't make a sound
Where were you when it all came back around? (It goes back around)
The reasons why you passed me by will always hold you down
Say something
If you can't stand the pressure
Stay the fuck out of my way
I know my place
This one goes out to everyone who's lied to my face
My heart is filled with hate
I'm making a difference
I'm taking a chance (A chance)
You can say what you want about me
But no one can tell me I can't
Where were you when my walls came falling down? (They came falling down)
You tried to hide, you stood close by, and didn't make a sound
Where were you when it all came back around? (It goes back around)
The reasons why you passed me by will always hold you down
Say something"
A Day to Remember,The Document Speaks For Itself,Common Courtesy,2013-10-08,"""Hey Drew, Tony from Victory, 12:30 in the morning in Chicago
Just saw the video, man, Victory proof, huh? I'm gonna sue you, boy!
Do ya hear me, son? I'm gonna sue you, you're gonna get sued, son!
Be careful, get your lawyers, 'cause you're gonna get sued!""

You're all about you, and it's my fast track to an early grave
Just need to see this through
Do you even sleep at night?
Where does your conscience run to hide?

I gotta get out, I gotta get out
Why can't you just do what's right by me?
I gotta get out, I gotta get out
It can't get much harder, harder to breathe

The room it keeps spinning faster, I'm drifting off to sleep
Hope it's seen beyond these walls you're suffocating me

Why can't you see what three little words have done to me?
I never knew I was alone, you turned your back, you broke this home
Took me so long to find the answers, and your reasons why
I just wanted things to be alright, or at least for just tonight

How's living a lie?
You never could face me
And you hide behind fake personalities
Because deep down you're scared
So weak beyond compare

I gotta get out, I gotta get out
Why can't we just go our separate ways?
I gotta get out, I gotta get out
It won't be much farther, I'm counting the days

The room it keeps spinning faster, I'm drifting off to sleep
Hope it's seen beyond these walls you're suffocating me

Why can't you see what three little words have done to me?
I never knew I was alone, you turned your back, you broke this home
Took me so long to find the answers, and your reasons why
I just wanted things to be alright, or at least for just tonight

My friends still stand behind me
We stuck together through all we lost
Even when your worst surrounds me, you'll never get the best of us
My friends still stand behind me
We stuck together through all we lost
Even when your worst surrounds me, you'll never get the best of us

Why can't you see what three little words have done to me?
I never knew I was alone, you turned your back, you broke this home
Took me so long to find the answers, and your reasons why
I just wanted things to be alright, or at least for just tonight

No fucking respect
All hail the thief forever trying to separate you and me
All hail the thief forever trying to separate
No fucking respect"
A Day to Remember,The Downfall of Us All,Homesick,2009-02-03,"Da da da de da da da
Da da da de da da da
Let's go

It's not easy making a name for yourself
Where do you draw the line?
I never thought I'd be in this far
Let's have some fun and never change that for anyone
Try not to miss me when I'm gone

(Whoa uh oh, whoa uh oh)
I sold my soul to the open road
I'll live my life alone

You won't find me in the same spot believe me
I could never stop, my life's turned upside down
Meet me out past the train tracks I'm leavin' and not coming back
You're right and I was wrong
This town will be the downfall of us all

I'm gonna need you to try to follow along
I did the best that I could to try to write you songs
Now go tell them we sold out, like we're the ones who changed
I write what I feel, I say what I mean
You can't buy sincerity

(Whoa uh oh, whoa uh oh)
I sold my soul to the open road
I'll live my life alone (lone)

You won't find me in the same spot believe me
I could never stop, my life's turned upside down
Meet me out past the train tracks I'm leavin' and not coming back
You're right and I was wrong
This town will be the downfall of us all

Don't forget yourselves we made up our minds
We signed three, four, five on that dotted line
Don't forget yourselves we made up our minds
We signed three, four, five on that dotted line

You won't find me in the same spot believe me
I could never stop, my life's turned upside down
Meet me out past the train tracks I'm leavin' and not coming back
You're right and I was wrong
You won't find me in the same spot believe me
I could never stop, my life's turned upside down
Meet me out past the train tracks I'm leavin' and not coming back
You're right and I was wrong
This town will be the downfall of us all
This town will be the downfall of us all

Downfall of us all
Downfall of us all
Downfall of us all
Downfall of us all"
A Day to Remember,The Plot To Bomb The Panhandle,For Those Who Have Heart,2007-01-22,"I've learned to let go
Come on

Here's a middle finger
Coming straight from OCA-L-A
I appreciate your judgement
It's proved that I can't trust a word you say
Those must be some pair of binoculars
That you see every move I make
So I'll never be a liar
But you'll always be two-faced

You'll get what's coming to you
You're blinded by your instincts
I'm not your fucking game
I'm not so easily beat

I'm looking down at this mess that you've made
And I can't believe that I stayed
So unhappy for so long
Where did I go wrong?
I've got to get out of this
My hand is on the handle
We're leaving everything behind
Goodbye for a lifetime

I'll rip that scandalous bitch in two
We'll bring the noise

Try to pretend that I never even knew your name
Cause everything you are disgusts me
(Too bad I can't turn back time)
So I wouldn't be here
What I'd give for you to disappear
So tell me girly how's your edge?

You've got nothing better to do
I know why you can't see straight
I thought you were better than this
But you're just like everyone else

I'm looking down at this mess that you've made
And I can't believe that I stayed
So unhappy for so long
Where did I go wrong?
I've got to get out of this
My hand is on the handle
We're leaving everything behind
Goodbye for a lifetime

I'll make my stand
Right here with my friends
I'll make my stand
Right here with my friends
I'll make my stand
Right here with my friends
I'll make my stand
Right here with my friends
I'll make my stand
Right here with my friends
Get low
Now I know who my friends are
I'm never coming home"
A Day to Remember,This Is the House That Doubt Built,What Separates Me From You,2010-11-15,"Don't get me started on what it means to be alive
You're lying to yourself but then still you act surprised
Cause you're scared, can't come to terms with what you are
The wolves in sheep's clothing will only lead you so far

You'll wait and they'll go, cause in the end we all end up alone
So just wait you'll know

Forget everything just for tonight, we'll sing like everyone when they're alone
Cause I've been waiting for the night to say(Whoa, whoa)

I rely on myself, just making sure that was clear
I'm not in need of your crutches I faced all my fears
And I won, well
I knew I could have, life is not a punch card, make the best of what you have

Don't wait, just go, and when you find yourself please let me know
It's not too late, just let go

Forget everything just for tonight
We'll sing like everyone when they're alone
Cause I've been waiting for the night to say (Whoa, whoa)
Let's believe that if we all stand together
We're a force that can shake the whole world
For once we're doing something right when we say, (Whoa, whoa)

In the end it's not about what you have
In the end, it's all about where you want to go
And the roads you take to help you get there
I hope you think that's fair
Cause you've only got one life to lead
So don't take for granted those little things
Those little things are all that we have

Forget everything just for tonight
We'll sing like everyone when they're alone
Cause I've been waiting for the night to say (Whoa, whoa)
Let's believe that if we all stand together
We're a force that can shake the whole world
For once we're doing something right when we say, (Whoa, whoa)

I said whoa
Whoa, whoa, whoa
Everything, everything
Cause I've been waiting for the night to say
Whoa, Whoa"
A Day to Remember,Turn Off the Radio,Bad Vibrations,2016-09-02,"T-T-T-Turn off the radio

There's somethin' missin', there's an anger
Livin' half the world away
I hope you listen for a person
With perspective that isn't always the same
No need to water it down right now
You play the victim, but it's all a charade
Times, they are a-changin'
Get your things in order, or get out the way

And it goes on and on and on...

Turn off the radio
Till they've got something real to say
Turn off the radio
To clear my mind and let me think
I need an answer, I've got the questions
Can't anyone out there just relate?
Turn off the radio
Turn off the radio

There's a division in our culture
That we live with every day
We're just people eating people
Such a sick, sad world we live in today
All I know is I wanna be
Everything expected of me
So everyone, we can agree
Somebody out there understands me

And it goes on and on and on...

Turn off the radio
Till they've got something real to say
Turn off the radio
To clear my mind and let me think
I need an answer, I've got the questions
Can't anyone out there just relate?
Turn off the radio
Turn off the radio

Someone out there, if you're listenin'
We're the victims of our indifference
Tell us more without controlling
What we think with what you're showing

Turn off the radio
Till they've got something real to say
Turn off the radio
To clear my mind and let me think
I need an answer, I've got the questions
Can't anyone out there just relate?
Turn off the radio
Turn off the radio"
A Day to Remember,Violence (Enough Is Enough),Common Courtesy,2012-12-21,"I've been feeling like everything is for nothing
In fact, I've never felt so goddamn small
Always searching for the bright side
To find the strength for when I fall
I'm still believing that life has a meaning
Can't cope with thinking that there's not
I'm so divided that I try to hide it
It's the only real thing that I've got

So, when the world outside can't see what's wrong and right
People can't understand the reasons that we fight
Something's gotta give

Violence, give me violence
Cause they say (say) we're the worthless ones
Substance, give me substance
Heavy lies the crown as I cut you down
Violence, give me violence
Cause they say (say) we're the worthless ones
Substance, give me substance
Heavy lies the crown as I cut you down

You can call this a warning (it's a warning)
That we're drowning in our malcontent
Tear me down like a cancer (whats your answer?)
We're different and it makes you sick
There is a sadness here, on every corner
It's in our hearts, dear God
Don't wanna trouble you much
But we all need to know when enough is enough

So, when the world outside can't see what's wrong and right
People can't understand the reasons that we fight
(Reasons that we fight)
Something's gotta give

Violence, give me violence
Cause they say (say)we're the worthless ones
Substance, give me substance
Heavy lies the crown as I cut you down
Violence, give me violence
Cause they say (say) we're the worthless ones
Substance, give me substance
Heavy lies the crown as I cut you down

You only get one chance and that's one too much
What's the world gonna say when I call your bluff, punk?
Bow your head

Violence, give me violence
Cause they say we're the worthless ones
Substance, give me substance
Heavy lies the crown as I cut you down
Violence, give me violence
Cause they say (say) we're the worthless ones
Substance, give me substance
Heavy lies the crown as I cut you down"
A Day to Remember,We Got This,Bad Vibrations,2016-08-31,"To anyone who's alone in a crowded room
Put your hands up high, sing it out of tune
It's these late night hours we spend that help me up from down

You're just like me when I was your age
We all knew better, name it, we've been there
When I had a place that I couldn’t call my own
We spent most days counting the ways
We would get through it, but they said we were stupid
Now all those kids say they knew us so well
Come on get real

To anyone who's alone in a crowded room
Put your hands up high, sing it out of tune
It's these late night hours we spend that help me up from down
We got this

I'm not afraid of anything
Here's to the future
It was nice that I knew ya
Go find something that makes you feel complete
'Till the next time we meet

To anyone who's alone in a crowded room
Put your hands up high, sing it out of tune
It's these late night hours we spend that help me up from down
We got this

You're just like me
When I was your age
Things do get better
Trust me I've been there
You're just like me
I was your age
Things do get better
Trust me I've been there
You're just like me
I was your age
Things do get better
Trust me I've been there
You're just like me
I was your age
Things do get better
Trust me I've been there

To anyone who's alone in a crowded room
Put your hands up high, sing it out of tune
It's these late night hours we spend that help me up from down
We got this
To anyone who's alone in a crowded room
Put your hands up high, sing it out of tune
It's these late night hours we spend that help me up from down
We got this
Yeah we got this"
A Day to Remember,"You Be Tails, I’ll Be Sonic",What Separates Me From You,2010-11-15,"I’m a mess, That's the best way to describe it
Having no time to myself is the only way I can fight it
When I'm alone it's like I'm staring into a mirror
Don't know the person inside it and that's never been any clearer
I miss your family and I miss all our friends
If you had it to do over would you do it over again
Cause I would, this meant something more to me
There's a hole in my heart where you used to be

I still wish you the best of luck, baby
And don't go thinking this was a waste of time
I couldn't forget you if I tried

You killed what was left of the good in me
I'm tired so let me be broken
Look down at the mess that's in front of me
No other words need be spoken
And I've got nobody else to blame though I tried
Kept all of our past mistakes held inside
I’ll live with regret for my whole life

I confess that I brought this all on myself
Condemned to suffer alone, like there's nobody else
When you're gone, it's like a whole part of me’s missing
So I'll keep living the lie and just hope that you're listening
I tried to make us a life here
But our foundation was built on sand
No time to run until the damage was done
And I’ve never had the upper hand

I still wish you the best of luck, baby
And don't go thinking this was a waste of time
I couldn't forget you if I tried

You killed what was left of the good in me
I'm tired so let me be broken
Look down at the mess that's in front of me
No other words need be spoken
And I've got nobody else to blame though I tried
Kept all of our past mistakes held inside
I’ll live with regret for my whole life

All the things you love are all the things I hate
How did we get here in the first place?

I play it cool but it's hard to be (All my trust)
Is slowly burning inside of me (Over what)
There can't be anymore progress, I know our fate
The only thing that can heal this is time and space

You killed what was left of the good in me
I'm tired so let me be broken
Look down at the mess that's in front of me
No other words need be spoken
And I've got nobody else to blame though I tried
Kept all of our past mistakes held inside
I’ll live with regret for my whole life
For my whole life"
A Day to Remember,You Had Me At Hello,And Their Name Was Treason,2005-05-10,"I'm missing you so much, I'll say you died tonight
Just so I can get to you before the sun will rise
I know these times are hard and I feel this too
None of that ever seems to matter when I'm holding you

And I'm wasting away, away from you
And I'm wasting away, away from you

What have I gotten into this time around
I know that I had sworn I'd never trust
Anyone again but I didn't have to
You had me at hello

I've never seen a smile that can light the room like yours
It's simply radiant, I see it more with every day that goes by
I watch the clock to make my timing just right
Would it be okay?
Would it be okay if I took your breath away?

And I'm wasting away, away from you
And I'm wasting away, away from you

What have I gotten into this time around
I know that I had sworn I'd never trust
Anyone again but I didn't have to
You had me at hello

You gave me butterflies in the mailbox (you had me at hello)
You gave me butterflies in the mailbox (you had me at hello)
You gave me butterflies in the mailbox (you had me at hello)
You gave me butterflies in the mailbox (you had me at hello)
You gave me butterflies (you are so cute)
At the mailbox (you had me at hello)
You gave me butterflies (you are so cute)
At the mailbox (you had me at hello)
You gave me butterflies (you are so cute)
At the mailbox (you had me at hello)
You gave me butterflies (you are so cute)
At the mailbox (you had me at hello)

What have I gotten into this time around
I know that I had sworn I'd never trust
Anyone again but I didn't have to
You had me at hello

You had me at hello
You had me at hello"
A Day to Remember,You Should’ve Killed Me When You Had The Chance,And Their Name Was Treason,2005-05-10,"So I say goodbye to a town that has ears and eyes
I can hear you whispering as I walk by
Familiar faces smiling back at me and I knew
This would make them change

The only thing that's going to bother me
Is that you'll all call yourselves my friends
Why can't you look me in the eyes one last time?

The writings on the wall, you've read that I'll be gone, but if you call my name
Just know that I'll come running, for one more night to spare with you
This is where I'm meant to be, please don't leave me

I've read these stories a thousand times, and now I'll rewrite them all
You're meddling in an anger you can't control
She means the world to me, so hold your serpent tongue
Is a whores lies worth dying for? Trust me, I'm done

The only thing that's going to bother me
Is that you'll all call yourselves my friends
Why can't you look me in the eyes one last time?

The writings on the wall, you've read that I'll be gone, but if you call my name
Just know that I'll come running, for one more night to spare with you
This is where I'm meant to be, please don't leave me

I walked into your house this morning
I brought the gun from our end table
Your blood was strewn across the walls
They'll find you on your bathroom floor
I walked into your house this morning
I brought the gun from our end table
Your blood was strewn across the walls
They'll find you on your bathroom floor when I'm done
But should I write it all off?

But should I write it all off?
But should I write it all off?
But should I write it all off?
(You should have killed me when you had the chance)
But should I... ?
(You should have killed me when you had the chance)
You should have killed me when you had the chance
You should have killed me when you had the chance"
The Menzingers,After the Party,After the Party,2017-01-09,"It's the little things my mind commits
To etch behind my eyelids
Like getting stoned when we wake up
Coffee grounds and coffee cups
Your silhouette in high top sneakers
And hardcore from laptop speakers
The classics to the more obscure
From Minor Threat to your old roommate's band

Like a kaleidoscope in vibrant hues
I navigate around your tattoos
Said you got that one on a whim
When you were breaking up with him
And that Matryoshka Russian doll
That lines your shelf from big to small
What a way to start anew
To shed your skin and find the old you

Everybody wants to get famous
But you just want to dance in a basement
You don't care if anyone is watching
Just as long as you stay in motion
We put miles on these old jean jackets
Got caught up in the drunk conversations
But after the party, it's me and you
After the party, it's me and you

With a new outlook on everything we see
From high upon this rooftop over South Philly
To the nights we lose our self-control
From the sex, from the drugs, from the rock and roll

Everybody wants to get famous
But you just want to dance in a basement
You don't care if anyone is watching
Just as long as you stay in motion
We put miles on these old jean jackets
Got caught up in the drunk conversations
But after the party, it's me and you
After the party, it's me and you
After the party, it's me and you
After the party, it's me and you"
The Menzingers,A Lesson in the Abuse of Information Technology,A Lesson in the Abuse of Information Technology,2007-07-30,"I supply my own divide morality
I dye everything in shades of grey
I supply my own divide morality
I dye everything in shades of grey
And nothing stays gold and everywhere I turn
Another self gratifying glimpse of a lonely road
Self deception learn the lesson Hedon
You've got a, you've got a reason to lie
And everywhere I turn there are portraits
Of the things we'll never know
Self deception learn the lesson Hedon
You've got a, you've got a reason to lie
Our bodies across the ocean
Lay your hands down be a crutch
Where'd you go?
Well I don't know
I supply my own divide morality
I dye everything in shades of grey
I supply my own divide morality
I dye everything in shades of grey
We'll burn this city to the
Scream, our throats are bleeding
Wear our scars with pride
We'll burn this city to the
Scream, our lungs are bleeding
Wear our scars with pride
I supply my own divide morality
I dye everything in shades of grey
I supply my own divide morality
I dye everything in shades of grey
We'll burn this city to the
Scream, our lungs are bleeding
Wear our scars with pride"
The Menzingers,America (You’re Freaking Me Out),Hello Exile,2019-08-20,"On the lonely end of history
Swingin’ and swayin’ to the murder mystery
Rhyme and reason fled the crime scene
Of new penthouses next to tents in the streets
Oh, how do I steer my early 30’s
Before I shipwreck, before I'm 40
Oh, ain’t it a shame what we choose to ignore
What kind of monsters did our parents vote for?

Lately I feel like I’m in puppet Vichy France
Tryin’ to teach the devil how to dance

To these sing-alongs of siren songs
To ooh’s, to ahh’s
To big applause
With all of my anger I scream and shout
America, I love you but you’re freaking me out
Ooh-oh-oh-oh
Ooh-oh-oh-oh
Ooh-oh-oh-oh
Ooh-oh-oh-oh

Driving through the Bible Belt
Billboards claiming how Jesus felt
Oh, how’d his words confuse themselves?
With cranks for Christians in powerful positions

I’ve always felt like all their pomp and circumstance
Is just cover for the devil to dance

To these sing-alongs of siren songs
To ooh’s to ahh’s
To big applause
With all of my anger I scream and shout
America, I love you but you’re freaking me out

America, you’re freaking me out
With all my anger I shout
Can’t you recognize truth from clever lies?

To these sing-alongs of siren songs
To ooh’s to ahh’s
To big applause
With all of my anger I scream and shout
America, I love you but you’re freaking me out
To these sing-alongs of siren songs
To ooh’s to ahh’s
To big applause
With all of my anger I scream and shout
America, I love you but you’re freaking me out
Ooh-oh-oh-oh
Ooh-oh-oh-oh
Ooh-oh-oh-oh
Ooh-oh-oh-oh
Ooh-oh-oh-oh
Ooh-oh-oh-oh
Ooh-oh-oh-oh
Ooh-oh-oh-oh"
The Menzingers,Anna,Hello Exile,2019-07-15,"I’ve memorized every single moment
Every fleeting passage of time
The way you’d laugh and dance in the kitchen
After drinking too much cheap red wine
I always rewind, the home movies in my mind
Back to the times, first moving in with you

I have so much to tell ya
Please come back to Philadelphia
This place ain’t the same without you Anna

You got a great big new promotion
But now you travel so damn much
It's like our studio apartment
Is just a place to keep your stuff
And when you’re away, I walk around in a haze
Reminiscing the days, first moving in with you

I have so much to tell ya
Please come back to Philadelphia
This place ain’t the same without you Anna
And oh, how the neighborhood's changed
And all our friends keep asking for ya
This place ain’t the same without you Anna

But I will wait, for you babe
Take as long as you need to take
I’ll be fine on my own
Counting down the days until you come home

I have so much to tell ya
Please come back to Philadelphia
This place ain’t the same without you Anna
And oh, how the neighborhood's changed
And all our friends keep asking for ya
This place ain’t the same without you Anna

But I will wait, for you babe
I have so much to tell ya
I have so much to say
Take as long as you need to take
I have so much to tell ya
I have so much to say
Oh, Anna"
