artist,songs/title,songs/album,songs/year,songs/lyrics,songs/image
,Orange Julius,Joyce Manor,2011-01-11,"Stretching out cheap cotton over your thick skull
Oh, I do feel awful on the way to school
Can you picture my reaction to the word up on the wall?
Is there really something wrong with me?

Stretching out cheap cotton over your thick skull
I'm down here under the pavement so inept
Until I grab that pen beside you
Jam it into your eye
See, now you're my kind of man
Now you're a stand-up kind of guy

I am dying of embarrassment
I'm dying of this hatred
I can't rest until you know this bitterness that I have tasted
Such humiliation for the first and only time
I'm obsessed with your self-righteousness
Cut in half by your smile

Into the night
You're getting harder to believe in
You're a cold and quiet paradise
Transfixed just by your breathing
Into the night
And you're the one thing I don't hate
You're a cold and quiet paradise
My only true escape into the night",https://images.genius.com/ce84379e4f995ed46034cdf52292725b.400x400x1.jpg
,Over Before It Began,Cody,2016-10-07,"Over before it began
Some of them were friends, I guess
And others, I guess they were fans
Some of them were strangers
Some of them were part of the plan
They were all the same
They were over before
Before they began
Closer, as close as you can
Closer than the clothes you were wearing
Closer than we understand
Closer than a cousin
Closer than a woman and man
Closer than the closest thing
But still over before it began
Some of them were strangers
Some of them were part of the plan
They were all the same
They were over before
Before they began
Over before it began
Even though I have always loved you
It was over before it began
Even though I have always loved you
It was over before it began
Even though I have always loved you
It was over before it began",https://images.genius.com/1252aae5dc5d791f60461ee85739de57.1000x1000x1.jpg
,Reversing Machine,Cody,2016-10-07,"People used to tell me
That I could buy and sell me
There's no such thing as luck
Well, hey, OK
Then how do you explain
How things have changed so much
In the autumn leaves
High on LSD
Here comes the campus security
To take that away from me
Wanna see for myself
I wanna see what it means
But I can't because I'm stuck in a reversing machine
People used to tell me
That I could buy and sell me
There's no such thing as luck
Well, hey, OK
Then how do you explain
How things have changed so much",https://images.genius.com/1252aae5dc5d791f60461ee85739de57.1000x1000x1.jpg
,Schley,Never Hungover Again,2014-07-21,"So watch out, you're in danger
You'd never know it but you know that it's possible
Like your name, the way it looks carved into the cover of a telephone book
I don't care, I'm never gonna
It sounds better when you're high on marijuana
Yeah right, in my head
Yeah right, am I right in my head?
So watch out, you're in danger
You'd never know it but you know that it's possible
Like old friends who never ask ""How can you be happy when you wear all black?""
And they care because they wanna
It feels weird like a really weird movie
All night in my head
All night, in my head
So watch out, you're in danger
You'd never know it but you know that it's possible
Schley
Schley
Schley
Schley",https://images.genius.com/eebbfb39cd93dd4f19ad5f50d532594e.640x640x1.jpg
,See How Tame I Can Be,Of All Things I Will Soon Grow Tired,2012-04-14,"I'm right here
But hey don't worry 'bout it
I don't care
Learning to do without it
Laying on the couch and staring at the wall like nothing
Like nothing at all

See how tame I can be?
In the reflection, I watch myself watching TV
And it's too much to take and so I say to myself
""I never told you that I loved you cause I don't.""

See how strange I can seem?
Did I ever tell you about that one dream?
Well look, there we are
Where we used to be
Of all things I will soon grow tired

Don't stop by
No, you don't have to be around tonight
If you're not feeling like it
Stand out in the hallway, fall into my arms
Because I want you
Can't you tell at all?",https://images.genius.com/cf7b54a8a0a6ad469d0457b8454cd839.640x640x1.jpg
,Silly Games,Million Dollars To KIll Me,2018-09-18,"Oh, these silly games
Oh, these silly games
That they wanna play with you

People on the street intimidate you
Though they see you cryin’, they all smile
Days go by but nothin’ ever changes
Was it ever worth it all the while
She’s still a child, and so she must be free

Oh, these silly games
Oh, these silly games
That they wanna play with you

People on the street intimidate you
Though they see you cryin’, they all smile
Days go by but nothin’ ever changes
Was it ever worth it all the while
She’s still a child, and so she must be free

Oh these silly games
That they wanna play with you",https://images.genius.com/42a70696abbe051428723feb225f1b45.640x640x1.jpg
,Stairs,Cody,2016-10-07,"So you just stand there
With a dollar at your feet
And you wait as I retreat
To go get mine
And when I get back
You're still waiting silently
Cause my mother's fast asleep
Right next door
Yeah, I'm 26 and I still live with my parents
Oh, I can't do laundry
Christ, I can't do dishes
What'll I do without you
When your body fails you
When nobody loves you
All they do is miss you
But they don't even care
So be careful when you run downstairs
Be careful who you talk to
Or the wonderful way you walk
You are like a magnet for all evil
So you just stand there
With a dollar at your feet
And you wait as I retreat
To go get mine
And when I get back
You're too terrified to speak
And my brother's such a creep
Even more
Yeah, be careful when you run downstairs
Be careful who you talk to
Or the wonderful way you walk
You are like a magnet for all evil
Cause there's so much good inside you
And I wish that I could hide you
Some place no one could hurt you
Where nobody could change you
I'll lock you in my room
And I'll tie you to the sheets
Cause I could watch you sleep for weeks
Oh, the things you'd never see
If it were up to me
Oh, I can't do laundry
Christ, I can't do dishes
What'll I do without you

""So - like - punch in on the thing because I still...
I did it wrong the first time and then I did it good the second.""",https://images.genius.com/1252aae5dc5d791f60461ee85739de57.1000x1000x1.jpg
,The Jerk,Never Hungover Again,2014-07-21,"The sand, your shoes, your point of view
Erase your face in a dumb cartoon
Well I saw The Jerk but that stuff don't work
So you say it used to
But can you say it with a please?
I wanna see what's going on
Over your shoulder but it all goes wrong
Don't say goodbye say you're not sure
Anything could ever come between the two of us
I would say the same thing
In the place with cakes and eight ball juice
Where I lost my place so I started over again
With some farmyard friends
Looked em dead in the eyes and said
I'm not like you
I wanna see what's going on
Over your shoulder but it all goes wrong
Don't say goodbye say you're not sure
Anything could ever come between the two of us
I would say the same thing
I wanna see what's going on
Over your shoulder but it all goes wrong
It all goes wrong",https://images.genius.com/eebbfb39cd93dd4f19ad5f50d532594e.640x640x1.jpg
,These Kind of Ice Skates,Of All Things I Will Soon Grow Tired,2012-04-14,"You can't make, you can't make a mistake
On these kind of ice skates
You can talk, I'll lay around
So don't you be my black plastic case for your glasses
You fail to feel time affect you
And I don't think your confusing refusal to heal
With all your selfishness singing, ""I know how, I know how you feel""",https://images.genius.com/cf7b54a8a0a6ad469d0457b8454cd839.640x640x1.jpg
,Think I’m Still in Love With You,Million Dollars To KIll Me,2018-08-15,"Did I introduce you to
The kinds of things you thought you knew?
But not like buddy-buddy
It's not just me, things seemed much sunnier back then

Doesn't really make a difference to me
Take a bunch of pills and crash in to me
Do it again for old time's sake
Look at me now, there's nothing else left to break

'Cause all I ever wanted was
To say ""I think I'm still in love""
And even though it isn't true
I think I'm still in love with you

Beat myself into the ground
All I do is hang around
Nothing I could do or say
Is ever gonna make you wanna stay

And all I ever wanted was
To say ""I think I'm still in love""
And even though it isn't true
I think I'm still in love with you

And even if it isn't right
I'm still gotta put up a fight
You could leave me black and blue
I think I'm still in love with you

I think I'm still in love with you (I think I'm still in love)
I think I'm still in love with you  (I think I'm still in love)
I think I'm still in love with you",https://images.genius.com/42a70696abbe051428723feb225f1b45.640x640x1.jpg
,This Song is a Mess But So Am I,Cody,2016-10-07,"I wrote this one for you
Cause that's all I could do
Sad, but it's all true
So I guess it'll have to do
Entrust the broken wing
A bird that doesn't sing
Useless, not unused
Some other cover coming through
Just wanna sleep away the hour
Blinded by the light
This song is a mess but so am I
Beneath the soda stream
When you begin to dream
When you said, ""nothing's new""
Made fucking zero sense from you
Just wanna sleep away the hour
Blinded by the light
This song is a mess but so am I",https://images.genius.com/1252aae5dc5d791f60461ee85739de57.1000x1000x1.jpg
,Up The Punx,Million Dollars To KIll Me,2018-09-21,"Once before a cold explorer
Sheet like pain of fleeting horror
""So not-posh"", I'm not believing
Goes non-stop before careening

Down the stairs and 'round the block
I stepped into a china shop
And turned my headlamp towards the ceiling
Can't believe the feeling

Is there anybody out there?
Is there anybody out there this time?

Up the punx, I feel so freakish
All too real to deal with sequence
Broke-a-hontas, orange eating
Talk like that, now watch who's screaming

Is there anybody out there?
Is there anybody out there this time? this time?",https://images.genius.com/42a70696abbe051428723feb225f1b45.640x640x1.jpg
,Victoria,Never Hungover Again,2014-07-21,"Had such a bad time hanging out
Regret the choices that I made
I know it doesn't matter now
Won't be the one who walks away
Victoria
You've got me hanging on again
Victoria
Had such a hard time saying no
Locked myself out and had to climb
Over the back wall and scraped my arm
It bled a little, but I'm fine
Victoria
You've got me hanging on again
Victoria
Took the screen door off the frame
Washed the blood off of my arm
And watched it circle down the drain
Put the screen door back in place
Now I'm alone again
Victoria
You've got me hanging on again
Victoria",https://images.genius.com/eebbfb39cd93dd4f19ad5f50d532594e.640x640x1.jpg
,Violent Inside,Of All Things I Will Soon Grow Tired,2012-04-14,"Some TV tonight
You don't say I don't stand too close
Because I never, I never, I never, I never
I never learned how to act out
And you'll go looking for an excuse to feel sad
Sad or confused
When all you want to do is
Let them all, let them all feel abuse

You take a letter
Take an ""I"", take an ""s""
Form a stupid sentence and I'm not impressed
You take a person that's so well dressed
And I will feel violent because I feel violent all the time
Inside of me",https://images.genius.com/cf7b54a8a0a6ad469d0457b8454cd839.640x640x1.jpg
,Wildflowers,Million Dollars To KIll Me,2018-09-21,"Sunshine, coming in through
The open window of my bedroom

Wildflowers at the side of the road
Caught my eye, and turned my heart to stone

""Hey man, are you okay?""
That was all that I heard somebody say

Wildflowers, I am shot with a song
Totally devastated for so long

Wildflowers, I am lost in a dream
Why are we still pretending to believe?",https://images.genius.com/42a70696abbe051428723feb225f1b45.640x640x1.jpg
,240,Modern Baseball / The Hundred Acre Woods,,"It's kind of a funny story
I met a girl
And we started talking
And if you know me, you know
That I immediately, without question
Fell in love with her
Even though I told them I'd never do that again
And it was this kind of talking, the deep passionate kind
The ones you see in those corny romantic movies
The ones I watch when I'm alone at night
And everything was going so swell, or at least that's what I thought
And then he walked in
And she melted and I got her all over my shoes
A few days later, I see the text message clearly stating:
""I want nothing to do with you, your being, or anyone around you.""
Cause this is about a girl I like
(You mean ""love"")
No, I mean ""like""
(No you mean ""love"")
Oh maybe you're, oh maybe you're right
Cause this is about a girl I like
(You mean ""love"")
No, I mean ""like""
(No you mean ""love"")
Oh maybe you're, oh maybe you're right
Oh maybe you're, oh maybe you're right
You don't want to
You're bored by who
You think I am
Just save your breath
Oh, I get it
My muscles are tearing
From staring at you too long
The lips that you're pulling
The lie I believed in
Oh, it's got me thinking that I don't feel it
Oh, it's got me thinking that I don't get it
The scars on my neck spell your name
It's pathetic
Oh, they got me thinking that I don't get it",https://images.genius.com/f70be79c0faf83681bd8c61b34681a5a.700x700x1.jpg
,Alpha Kappa Fall of Troy the Movie Part Deux (2 Disc Director’s Cut),MOBO Presents: The Perfect Cast EP feat. Modern Baseball,2015-10-23,"Downstairs, halfway dead, suckin down coffee from a black old fountain
Is your home where you lay your head or where your fake swordfish is mounted?
Eyes-cross, habitually I would leave the room prematurely with a tiny little pile of dark roast grounds where I once stood just enough there to keep me safe
Rained-out, wrapped right up in our metaphorical overpriced ponchos
Endless rides home, circling the block for the whisper of a word we didn't know how to use in a sentence
Saw you
Went home
Drank myself silly in the basement alone, and the spiders were showing off a sense of humor on the ceiling, spinning letters together
I read “ we keep you safe.""
Lost art, lost boy watching a grown man drink a 211 at 11 a.m. Our old joy!
But everything is changing even faster than it was back then. You hold me
It feels like I am finally closing my eyes after a year and a half long day, and I am tired as hell
Listen close, do you know that you keep me safe?",https://images.rapgenius.com/9dffe1d32accd4ff8642089c73978f38.700x700x1.jpg
,...And Beyond,MOBO Presents: The Perfect Cast EP feat. Modern Baseball,2015-10-23,"Are you hear- ah
Keep going 

Are you hearing me?
Are you ""Embracing Facts?”
Say things you understand, that way you’re catching my drift
Will you stay with me?
Will you sleep here tonight?
Just don't walk away when I say “crush.”


Are you here with me?
Or are you out in Space, orbiting?
Think you know everything we got coming?
Will you stay with me?
Please don't walk away
Can't wrap my head around this
I don't wanna understand

You and I have come such a long way, for us to start again
You and I have come such a long way, for us to start again
You and I have come such a long way, for us to start again
You and I have come such a long way, for us to start again",https://images.rapgenius.com/9dffe1d32accd4ff8642089c73978f38.700x700x1.jpg
,Apartment,You’re Gonna Miss It All,2014-02-11,"The first time I saw you was in your apartment
I had followed my friends single-file through the darkness
I looked your direction for excessive inspection
And I could not muster the courage to say a single word
For a while we were playing this game that your friends bought
But everyone cheated and no one could spell
You didn't say much of anything
I must have come off annoying, cause you went to bed
I walk home with my eyes low
Dreaming up conversations we'll have tomorrow
Your loose ends, my new friends
All the classes in high school we fell asleep in
But now I can hardly close my eyes
The next time I saw you was in your apartment
Oh, why do I keep ending up here on starlit evenings?
I should be home sleeping
But this time you sat next to me on the couch
(Dude, nice!)
I stare out the window
Hands glued tight and sore
Praying to God-knows-what
That you would sever what's stuck
With something shiny from the kitchen drawer
I walk home with my eyes low
Dreaming up conversations we'll have tomorrow
Your loose ends, my new friends
All the classes in high school we fell asleep in
But now I can hardly close my eyes
I was wondering if, maybe, you wanted to hang out tonight
We could make dinner or something",https://images.genius.com/863dfc7a82dbf3f55410928d3ac53d57.1000x1000x1.jpg
,"Apple Cider, I Don’t Mind",Holy Ghost,2016-05-13,"Did you ever love me?
Biopsy from the origin of sound
Confirms you're speaking truthfully
Concludes everything I thought about
Is this past or present?
I can't seem to make it all out
What's truths betrayal I find in the heat of the moment
Betrayal, what have I done now?
You think we can make it
Well I wish I felt the same way I did then
Homesick, just waiting
To return to you and your bed
Is this past or present?
I can't seem to make it all out
What's truths betrayal I find in the heat of the moment
Betrayal, what have I done now?
It's not like me to forgive and move on
Always looking back on my mistakes and others'
Too distant to see where I went wrong
Well, you say this is forever
You tell me this is forever
You say this is forever
You tell me this is forever
You say this is forever
You tell me this is forever
You tell me this is for...",https://images.rapgenius.com/66a71036615939f7198e8cb682df4c7f.806x806x1.jpg
,Breathing in Stereo,Holy Ghost,2016-05-13,"I can’t help thinking about you this whole ride home
From Alberta, Portland to wherever I’ll soon unfold
Into oblivion or somewhere between here and fact
Forever waiting for you
Ever-aching cause I’m
Longing for when I’ll be coming back to you
Hopeless, I’m fading
It’s the same damn thing every night
Planning our future without you, without me at times
But hey, I digress
What I was saying before is more important
Well I’m longing for when I’ll be coming back to you
Why does it take two thousand miles for me to say
“I love you”?
Burnout by day, lover by night
I’m not the same as I was, but that’s cool, whatever
Burned out by days without you
I’m lost, forlorn, I can’t do this alone
Alone, I feel safe
Still with you I’m safe, intact and hopeful
We’ll make it together
We'll make it together",https://images.genius.com/6ed590b91261def3d048375607bd9a6a.1000x1000x1.jpg
,Broken Cash Machine,You’re Gonna Miss It All,2014-02-11,"Home alone on Friday night
No better time for exercise
And wishing you were still my girlfriend
Sweeping floors and folding napkins
Praying something cool might happen
The sun explodes, we die
The world ends
Talking to my friends about stuff
Nasty beer and plastic handcuffs
Back when them and you and me
Would share our space in harmony

Oh, why did I do that?
Why does everything collapse?
Even when it's glued together
Hey, why did I do that?
I make everything collapse
Even when it's glued together

Questioning my awkward footing
Mixing bitter pills with chocolate pudding
Hiding gifted fixtures
Trying not to say words out loud
Wondering if I'm talking too lou
My eyes burning holes in your old pictures

Oh, why did I do that?
Why does everything collapse?
Even when it's glued together
Hey, why did I do that?
I make everything collapse
Even when it's glued together
Fuck you! Why did I do that?
It's your fault I can't relax
But nothing's changing while I'm sitting here
With both hands glued together",https://images.genius.com/c85b284315ea43c6ee65a384ed728184.1000x1000x1.jpg
,Charlie Black,You’re Gonna Miss It All,2014-02-11,"I'm pretty good at feeling sorry for myself
Making up fake lives but nothing like, tangible
Daydreaming while watching the TV
Intricate combos by myself to fall asleep
But alas, none of them come true
No car accidents, plane crashing
No six o'clock news
Just me and my too-far-away TV

(Can you hear me? Can you hear me? Bob, can you hear me?
Sorry, but it looks like we lost reception)

Whoa, tragedy's got my heart a-beatin'
Whoa, rethinking all my days
Whoa, tragedy's got my heart a-screamin'
Take them away, oh, just take them away today

Wait a minute, 'cause I've been living
More like a fucking king without you
And I've been spending all your past killings
On a bunch of shit that I won't use

Whoa, tragedy's got my heart a-beatin'
Whoa, rethinking all my days
Whoa, tragedy's got my heart a-screamin'
Take them away, oh, just take them away today
Whoa, tragedy's got my heart a-beatin'
Whoa, rethinking all my days
Whoa, tragedy's got my heart a-screamin'
Take them away, oh, just take them away today",https://images.genius.com/c85b284315ea43c6ee65a384ed728184.1000x1000x1.jpg
,@chl03k,Sports,2012-11-27,"I’d rather spend my evening
Talking to Chloe on Twitter
Than having you come over
So it’ll be like old times
But I know that you don’t give a fuck
Cause you're knee deep in your iPhone
But now that you saw my tweets
You know that I’m home
Buried in my cell phone
Tryna’ get a hold of someone new
Instead of hanging out with you
And your high school stories
But you sure know how to get right to me
With all those Facebook statuses
About relationships and such
Poor grammar is a must
But I trust that you can do it
But I couldn’t give a fuck
Whether you give a fuck or not
Rip my eye sockets out
Make me regret ever going out
But I know I’ll make it out of here alive
As long as I don’t watch your life
Unfold before my very eyes
You told this high school story
One too many times for me
You know I’d rather
I’d rather spend my evening
Talking to Chloe on Twitter
Than having to look you right in your eyes",https://images.genius.com/9eac95aac148d494c12c5715865eac5e.700x700x1.jpg
,Coals,Sports,2012-11-27,"Dead dreams and debauchery scenes
I spent the last 3 bucks
On the last thing that I'll need
There's no way that I'll end in the black for this term
Guess I got a lot to learn
Eight hours on the top of a bus
Just to find out in the end
I will never stop fallin' in love
I'm alright and I'm always getting better
Let the fire burn low cause we like it that way
We let the ash flow down
Our throats so stout but we don't mind the burn
We will never ever let it go out
Open doors and sweat soaked floors
You find it hard to miss your family
When everyday you're part of one more
Just slow down, baby, take it all in
And I promise you will never be angry again after this
Kicked out of the liquor store
But we're not the type of guys to fall asleep on the floor anyway
""You wanna join me for dinner?""
""Man I got so much to do""
Never once did I expect it not to tear me in two
I'm alright and I'm always getting better
Let the fire burn high cause we like it that way
We let the ash flow down
Our throats so stout but we don't mind the burn
We will never ever let it go out",https://images.genius.com/9eac95aac148d494c12c5715865eac5e.700x700x1.jpg
,Coding These to Lukens,Holy Ghost,2016-05-13,"It's not just what you say
Or how you've come so far
The words that you repeat
When time tears us apart
That smug look on your face
When you have something to hide
Or at least that's what I think
Maybe I'm out of touch
You tell me if I'm wrong
But you know I'm right

Spit fire
Spit blood
Spit fast
I'm heated
I'm sure this won't linger
Longer than it has to
Get out of my way
Steadfast
I'm Fiending
I'm a certain kind of way
A certain kind of way, tonight
I know it can't be in my head
It must be one of you who keep pulling me aside
To chit chat about me, who I am, what the deal is with
Who I was once",https://images.genius.com/6ed590b91261def3d048375607bd9a6a.1000x1000x1.jpg
,Cooke,Sports,2012-11-27,"I'm circling the drain
With all my problems in hand
Well I gotta pretty good hand I'd say
But these new caskets crack the same
The first few stones are the worst
They fall in unnoticed
And scare you for more than they're worth
And all at once you will not hear your own words
Closet weather at best and you're a victim
You say we're all in the basket
But oh it's so fun
To remind us over and over again
(We dug our own graves)
Time's a wasting so now I must be leaving
(We sealed our own fate)
I'm crawling outside
In the same way that I creeped in
(We dug our own graves)
And the rain falls down and it's heavy on my eyelids
(We sealed our own fate)
Pulled to the ground down the fucking drain
Maybe it's just my luck
But I got a spotless record
Maybe it's harder to stay
And we got it all wrong from the start
Maybe it's all in the cards
Or just an excuse for playing
Maybe it's all in our hearts
Maybe I don't know what I'm saying
I'm circling the drain
But I'm picking these bones up
Cause man, they don't live there today
And I don't want to hear the fibers crack
Cause God knows I'd rather die than be dying
It's not a cliché, no sir, it is a logical preference
Because the way things were this year
Makes me think how good it all could be
And how well it could end
Maybe it's just my luck
But I got a spotless record
Maybe it's harder to stay
And we got it all wrong from the start
Maybe it's all in the cards
Or just an excuse for playing
Maybe it's all in our hearts
Maybe I don’t know what I'm saying",https://images.genius.com/9eac95aac148d494c12c5715865eac5e.700x700x1.jpg
,Everyday,Holy Ghost,2016-05-13,"You hold my hand
You hold your liquor
Projection screen
Had ceased its flicker
You gave me tiny tastes
Of your truth
I was starved and you were full
I drove back home
I drove back home, when you got sicker
Disputing claims you still held, the TV clicker
Anna's face was flushed still in my mind
The waiter asked if she was high
Oooooooooo
You need to hide
It's in your framework
Look me in the eyes and act like I don't know how shame works
Your compass spins in reverse
The trees do time-lapse​ speed growth
The sky is lost behind a sea of green
She's acting like she knows what's up
She's dripping that devotion stuff
Breaking like her bread won't puff
She's sipping, sipping from the holy cup
Waking up
Everyday is all about doing things you don't want to do
But your reward is
You get to wake up",https://images.rapgenius.com/66a71036615939f7198e8cb682df4c7f.806x806x1.jpg
,"Fine, Great",You’re Gonna Miss It All,2014-02-11,"I hate worrying about the future
'Cause all my current problems are based around the past
And I hate when you call me late at night
Just to check in to make sure I got nothing to be sad about
But it's all right, and I'm okay
I won't need your help, anyway
Ah, well, I hate having to think about my future
When all I wanna do is worry about everyone but me
I'm so tired or maybe just bored
I can't really tell the difference whenever I'm talking to you
And I know that you just adore
Starting off with me, that way that there's no way that I'll assume
That you're wasting all of my time
To vent about your problems like how your Instagram stopped working
And how your friends bailed on you
But it was funny cause it was the day you were supposed to hang with me (Yeah... about that...)
I'm guilty as charged for leading you on
A lie that I know is easy to see
But it's crucial to blot out any
Signs that I might have feelings
This way you don't ask me how am I
This way you won't force me to proceed
With actually having to tell you my worries
With actually having you give a damn about me
You giving a damn about

I hate worrying about the future
'Cause all my fucking problems are based around the past
And I hate when you call me late at night
Just to check in to make sure I got nothing to be sad about
But it's alright, and I'm okay
I won't need your help, anyway
Ah, well
I hate having to think about my future
When all I wanna do is worry about everyone but me",https://images.genius.com/c85b284315ea43c6ee65a384ed728184.1000x1000x1.jpg
,Going to Bed Now,You’re Gonna Miss It All,2014-02-11,"What do you give someone
Who's already got one of everything
You thought would be the perfect accoutrement
To their unnerving temperament? Attention?
What could a lowly peasant being like myself
Offer a perfect pleasant saviour of humanity
Redeemer of us sickly sinning hillbillies? Attention

Just one more resounding stab at all the others
You've almost blown your cover
But your tracks don't stick
One more bottle should do the trick
Discreetly cleansing the remnants of every disdainful quip
We've found no escape route
But I know you well enough to hate you now
It's too bad you haven't figured that out

What do you call someone who calls you out
On DIY ethics you don't embody as he drains his
Dad and mummy's monthly data plan?
An asshole with an iPhone

I'll admit I'm in the same boat
Caught between my adolescent safety net
And where the world wants me to be
But I never use that as an excuse
To treat my friends the way that you treat me

Just one more distorted sad attempt at humour
From the jagged bleeding tumour in our throat
Malignance at best and quick to address yourself
As anything other than what we've learned to expect
The patron saint of good God-damn
I'll kick myself to sleep before I shake that
Grimy, dirty, crusted, arrogant hand
So please leave my house",https://images.genius.com/c85b284315ea43c6ee65a384ed728184.1000x1000x1.jpg
,Hiding,Holy Ghost,2016-05-13,"Take the train to Frankford
I won’t answer when they call
I guess that’s just my gift to myself
Drank a lot and danced to The Cure
Holding on for dear life
To the frayed edge of a feeling we misplaced years ago
And knowing we should really get back home
Made mistakes
The plants died young, like all good things
But I wish my small self had known
How much water to use
Still some nights I find
The ideas that bring me rest
Are the ones that used to prod and pester and keep me up
Swinging open doors I swore I’d shut
Pouring pewter
Amassing coins to displace debt to you
My straight-line shooter
Let me learn here
I am in pursuit of all I can undo
Entertain the cancer
We all answer upwards either way
The waiting game is tied again
Backs of hands and phrases
Misplaced gazes
Things we still deny to selves and hesitate to talk about
A call from high school two drinks in
I smiled but you could not see
Your tin can cell receiver hummed its New York static song
The lever pulled and all at once
The floor was false
The center seam divided
Lace and well-pressed cotton
Found the flood we’d since forgotten
We still leave our shoes at the door
Before we wring out our wet clothes
Across your floor and future
Stitch the gaps that destiny assumed
With floral sutures
Are you hiding or have I abandoned you?
Let me learn here
I am in pursuit of all I can undo",https://images.genius.com/6ed590b91261def3d048375607bd9a6a.1000x1000x1.jpg
,Holy Ghost,Holy Ghost,2016-05-13,"He's been haunting my dreams at night
I've been bleeding from tripping in the dark
Trying to turn on the light
Trying to turn on the light
He's been haunting my dreams alright
I've been hollering at him in the dark
Trying to find the right switch
Yeah my third wish
Has always been three more
But this time my holy ghost is hovering over me
And I am passed out on the floor",https://images.genius.com/6ed590b91261def3d048375607bd9a6a.1000x1000x1.jpg
,Home,The Nameless Ranger,,"Blind of our futures
Destined to shoes we know won't fit
Riding high amongst the ignorance
I'm guessing for the bliss
Counting down the days and hours till we meet again
I'll scream through all these trees
This voice I'll project
If you love don't let it go from
We will be the first to wonder
Where life meets living
I'll wish full forever, I've been wishful all along
And we can plot and plan, make our mends
But what we got, it will never be gone
Rip through me, rip through my words
Pour me out, push me forwards
Take all that I got to give, cause these times were made for ending
(Though I wish they weren't)
I'll love you forever, Hell I've loved you all along
And since screams and shouts
Won't stretch these clocks
Let's live our time by
""Oh just one more song""
Late at night you'll be tucked up
I'll be cold but you'll soon suck up
All that I've got to give
And to be honest I'm quite okay with it
If you love don't let it go from
We will be the first to wonder
Where life meets living
(Your hands, hold tight, don't spend all of your time tryna remember living)
We don't need a place and time, no
We got all the places and times we need
Or so we think
We don't need a place and time, no
We got all the places and times we need
Or so we think, lets just think",https://images.genius.com/a85bb2cec9418823ce3a5e22706fe1f2.360x360x1.jpg
,Hope,Couples Therapy,,"I speak soft
Hoping you'll hear me
Not too busy searching for your head and heart
I sing loud, but only in the beginning
Just to grab your attention
Will you bare witness to these words that have been so hard to find?
Look at me when I say I'm not just another one of your fucking push-away's
In your life, all you've seen
So sick and tired of all those movie scenes
I'll let you in, I'll pour you out
Let's build you straight up, turn you around and spit you out
I am hope
Look at me when I say I'm broken and disheveled yet still working a double on your heart
And in your head
Not to be confused with the lines about losing them
Oh, I'm speaking truthfully
I've spent so many sleepless nights just wondering, 'Will I ever be able to be your hope?'
Your hope
Shattered heart but you're calling it open-minded
Dare I say you're the one who makes me realize..
Our nights are not labeled as life,
Can we call them living?
I found these present-findings to be directly connected to your secret carings
Oh, I've been speaking truthfully,
I've spent so many sleepless nights just wondering, 'Will I ever be able to be your hope?'
Your hope
I sing strong
Will you just notice me?
Spewing these lines out, leaving my thoughts so dry
Just you know you're slowly brewing
A collection of moments
My tangle of words should explain my lack-luster last line",https://images.genius.com/bdb476a8f3094fdd14c0683dfe8a4752.700x700x1.jpg
,Hours Outside in the Snow,Sports,2012-11-27,"I spent all of Christmas Eve fake angry at you for
Who knows what now or then and you spoke so fast
I just sat back relaxed and took you all in
I spent all of Christmas Eve trying to get warmer
After standing outside for hours knowing at this point
I'd be lucky to get any sleep
And I'll toss and turn until the early morning
Happily ignoring that my blue jeans
Didn't do a fucking thing for me
Against this cold
Sober or not, I locked everything you sent me
Cause what's better than seeing
What I'm missing daily
I guess what I'm trying to say is that
You might run, oh but I won’t hide
Shed an ounce of light
On my half-hopeless life
Don't let me go back
And though I'd like to say more
I guess, I'll just duck and cover
Almost praying that you trip over
The cluster of words I laid out before having to leave
But since you've taken the time to read so carefully
Everything I've ever sent
I guess I'll spend the next few lines
Hoping and wishing
Yet thanking appropriately
You might run, oh but I won't hide
Shed an ounce of light
On my half-hopeless life
Don't let me go back
To Erin: Please read later
'Cause I don't think I have the heart
To let you read this now
But if I had the heart
You know that I know better
This isn't how you say aloud
""Don't let me go back""",https://images.genius.com/9eac95aac148d494c12c5715865eac5e.700x700x1.jpg
